Comment,Description,Designator,Footprint,JLCPCB_partNum,
BSS138,"MOSFET Power; N-Ch; VDSS 50VDC; RDS(ON) 3.5 Ohms; ID 200mA; SOT-23 (TO-236); PD 225mW","BS3, BS4",SOT-23 (TO-236),BSS138,
22pF,CAP CER 22PF 200V 5% NP0 0805,"C1, C3",0805,C1804,
10uF,50V 10uF X5R ±10% 0805 Multilayer Ceramic Capacitors MLCC,"C2, C4, C10, C11, C18, C25, C26, C27, C28, C29, C30, C31, C32, C34, C35, C36",0805,C15850,
100nF,CAP CER 0.1UF 100V 10% X7R 0805,"C5, C6, C7, C8, C15, C16",0805,C38141,
1uF,Cap Ceramic 1uF 16V X7R 10% SMD 0603 125°C Paper T/R,"C13, C14, C37",0603,C1592,
4.7uF,Cap Ceramic 4.7uF 25V X5R 10% SMD 0603 85°C Paper T/R,C17,0603,C76615,
Fairchild Semiconductor 1N4148WS,"Small Signal Diode 75 V 0.15 A -55 to 150 degC 2-Pin SOD-323 RoHS Tape and Reel","D1, D9, D10, D11, D12, D13",SODFL250X100-2N,C112663,
Blue LED 0805,LED; SMD; 0805; blue; 11.2-35mcd; 2x1.25x0.8mm; 170°; 3.3÷3.9V; 20mA,"D15, D16, D17, D18, D19, D20, D21",0805,C19171391,
"NXP Semiconductors PCA9685PW-118",PCA9685 Series 5.5V 25 mA 1 MHz 12-bit PWM Fm+I2C-Bus LED Controller - TSSOP-28,IC1,SOP28,C2678753,
52207-0860,"1.0 mm Pitch Easy-On(TM) Type FPC Connector 2.7 mm Mated Height Right Angle ZIF SMT Top Contact 8 Circuits -30 to 85 degC ELV and RoHS Compliant Tape and Reel",J2,TSSOP-28,C2797225,
Bourns SRN8040-101M,INDUCTOR POWER SHIELD 100UH SMD,L1,FPC,C780190,
MMBT3904,MMBT3904 Series 40 V 200 mA 250 mW NPN Switching Transistor - SOT-23,"Q4, Q20",SOT-23,C727127,
Diodes Inc. DF1504S-T,Diode Rectifier Bridge Single 400V 1.5A 4-Pin Case DFS T/R,B1,4-Pin Case DFS T/R,C460869,
10k_0603,Res Thick Film 0603,"R1, R4, R6, R8, R10, R12, R14, R15, R25, R30, R31, R32, R33, R34, R35, R36, R37, R38, R39, R50, R63, R64, R65, R66, R71, R72, R73, R79",0603,C25804,
220R 0603,Thick Film Resistors - SMD 1/10watt 220ohms 5%,"R2, R3, R5, R7, R9, R11,R17, R18, R19, R40, R41, R42, R43, R44, R45",0603,C22962,
1.5K,1.5K ohm 0.05% 10ppm,"R13, R26, R49, R51, R52, R56, R57, R58, R60, R61",0603,C22843,
100R,RES SMD 100 OHM 0.1% 1/10W 0603,"R16, R46",0603,C22775,
4K7,Res Thick Film 0603 4.7K Ohm 1% 0.1W(1/10W) ±100ppm/C Pad SMD T/R,"R20, R74",0603,C23162,
1.2K,RES SMD 1.2K OHM 0.5% 1/10W 0603,"R55, R67, R68, R70, R75, R76, R77, R78",0603,C22765,
560R,Res Thick Film 0603 560 Ohm 1% 0.25W(1/4W) +/-100ppm/C Molded SMD Automotive Punched T/R,R69,0603,C23204,
MOC3021SR2M,DIP6 SMT 1 Channel 400 V 7500 V (Pk) Random Phase Triac Optoisolator,"TRI1, TRI2",DIP-6,C427436,
ADS1115IDGSR,"12-Bit ADC with Integrated Multiplexer PGA Comparator Oscillator and Reference -40 to 125 degC 10-pin SOP (DGS10) Green (RoHS & no Sb/Br)",U1,TI-DGS10_N,C37593,
Diodes Inc. AP7366-33W5-7,"600MA Low Quiescent Current Fast Transient Low Dropout Linear Regulator",U2,SOT-25,C526385,
Microchip ATMEGA328P-AU,ATmega Series 32 kB Flash 2 kB SRAM 20 MHz 8-Bit Microcontroller - TQFP-32,U3,TQFP-32,C14877,
Espressif Systems ESP32-WROOM-32E(M113EH2800PH3Q0),Rx Txrx Mod Wifi Trace Ant SMD,U6,FTP_ESP-WROOM-32,C82899,
DS3231S,"Extremely Accurate I2C-Integrated Real-Time Clock/TCXO/Crystal 16-Pin SO 0 to 70 degC",U11,SOIC-16,C9866,
Silicon Labs CP2104-F03-GM,Full Speed Basic USB Type-C Controller USB 2.0 3.3V Tube Automotive 24-Pin QFN EP,U14,QFN-24,C47742,
TE Connectivity 1734035-2,Conn Mini USB 2.0 Type B RCP 5 POS 0.8mm Solder RA SMD 5 Terminal 1 Port Automotive T/R,X1,SMD/SMT,C99281,
