Altium Designer Pick and Place Locations
C:\Users\husqv\AppData\Local\TempReleases\Snapshot\1\Assembly\Pick Place\Pick Place for PCB1.txt

========================================================================================================================
File Design Information:

Date:       26/03/24
Time:       20:58
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

Designator Comment                                              Layer    Footprint                                Center-X(mil) Center-Y(mil) Rotation Description                                                                                                                                                               
TRI1       MOC3021SR2M                                          TopLayer PCB-12867618-1                           6409.449      4338.583      0        "DIP6 SMT 1 Channel 400 V 7500 V (Pk) Random Phase Triac Optoisolator"                                                                                                    
SW3        "C&K Components PTS645SK43SMTR92LFS"                 TopLayer PCB-2l25iuk5dcek232nr8ss-1               1405.512      4444.882      180      "Switch Tactile N.O SPST Round Button Gull Wing 0.05A 12VDC 100000Cycle 2.55N SMD T/R"                                                                                    
R79        10k_0603                                             TopLayer RESC1608X55X30LL15T15                    1712.598      4208.661      270      "Res Thick Film 0603"                                                                                                                                                     
C37        1uF                                                  TopLayer PCB-18m46dtosb55xzwbs0x7-1               1177.165      4641.732      270      "Cap Ceramic 1uF 16V X7R 10% SMD 0603 125°C Paper T/R"                                                                                                                    
U14        "Silicon Labs CP2104-F03-GM"                         TopLayer PCB-ouitp46nbub85rduds90-1               1771.653      3822.835      0        "Full Speed Basic USB Type-C Controller USB 2.0 3.3V Tube Automotive 24-Pin QFN EP"                                                                                       
C36        10uF                                                 TopLayer CAPC2012X11N                             3165.354      4602.362      90       "50V 10uF X5R ±10% 0805 Multilayer Ceramic Capacitors MLCC"                                                                                                               
R78        1.2K                                                 TopLayer RESC1608X55X25LL10T15                    7935.039      4716.535      180      "RES SMD 1.2K OHM 0.5% 1/10W 0603"                                                                                                                                        
R77        1.2K                                                 TopLayer RESC1608X55X25LL10T15                    7937.008      3976.378      180      "RES SMD 1.2K OHM 0.5% 1/10W 0603"                                                                                                                                        
R76        1.2K                                                 TopLayer RESC1608X55X25LL10T15                    7937.008      3228.347      180      "RES SMD 1.2K OHM 0.5% 1/10W 0603"                                                                                                                                        
R70        1.2K                                                 TopLayer RESC1608X55X25LL10T15                    7937.008      2480.315      180      "RES SMD 1.2K OHM 0.5% 1/10W 0603"                                                                                                                                        
