Designator, Mid X, Mid Y, Layer, Rotation
R46, 75.6922mm, 143.6373mm, T, 0
R45, 70.8661mm, 129.7943mm, T, 180
R44, 70.8661mm, 131.4453mm, T, 180
R43, 70.6121mm, 137.4143mm, T, 0
R42, 70.6121mm, 138.9383mm, T, 0
R41, 70.6121mm, 140.4623mm, T, 0
R40, 70.6121mm, 141.9863mm, T, 0
R39, 60.7061mm, 123.3172mm, T, 90
R38, 59.3091mm, 123.3172mm, T, 90
R37, 57.9121mm, 123.3172mm, T, 90
R36, 56.5151mm, 123.3172mm, T, 90
R35, 57.2771mm, 129.9213mm, T, 270
R34, 58.6741mm, 129.9213mm, T, 270
R33, 60.0711mm, 129.9213mm, T, 270
R32, 61.4681mm, 129.9213mm, T, 270
R31, 61.2141mm, 142.7483mm, T, 90
R30, 59.8171mm, 142.7483mm, T, 90
R15, 58.4201mm, 142.7483mm, T, 90
R29, 117.9831mm, 84.0741mm, T, 0
PUMP6, 122.0472mm, 29.5911mm, T, 0
PUMP5, 109.9822mm, 29.5911mm, T, 0
PUMP4, 97.9172mm, 29.5911mm, T, 0
PUMP3, 85.7252mm, 29.5911mm, T, 0
PUMP2, 73.7871mm, 29.5911mm, T, 0
PUMP1, 61.7221mm, 29.5911mm, T, 0
AUX1, 61.7221mm, 98.2982mm, T, 0
R21, 147.3203mm, 111.1252mm, T, 180
R23, 165.2273mm, 111.1252mm, T, 180
D8, 50.9271mm, 58.9281mm, T, 90
G1, 26.7971mm, 120.8502mm, T, 270
EEPROM, 76.4542mm, 93.3772mm, T, 0
S4, 126.8733mm, 74.4542mm, T, 0
S3, 161.9253mm, 74.4542mm, T, 0
GNDOUT, 64.6431mm, 71.7551mm, T, 90
VOUT, 64.6431mm, 83.8202mm, T, 90
GNDIN, 27.6861mm, 71.7551mm, T, 90
5VIN, 27.8131mm, 83.8202mm, T, 90
U3, 65.0495mm, 105.9752mm, T, 0
U2, 62.5251mm, 136.7813mm, T, 90
U1, 59.6901mm, 116.5862mm, T, 90
TRI2, 155.0673mm, 119.2532mm, T, 0
TRI1, 172.9743mm, 119.0542mm, T, 0
SW1, 43.6291mm, 39.7981mm, T, 270
R28, 191.3894mm, 122.6822mm, T, 270
R27, 186.4364mm, 122.6822mm, T, 270
R26, 184.2774mm, 110.7442mm, T, 180
R25, 65.5431mm, 112.6492mm, T, 0
R24, 163.9573mm, 122.8092mm, T, 90
R22, 181.6104mm, 122.6822mm, T, 90
R20, 109.6012mm, 127.1273mm, T, 270
R19, 125.9843mm, 132.2073mm, T, 90
R18, 120.0152mm, 132.2073mm, T, 90
R17, 123.0632mm, 132.2073mm, T, 90
R16, 106.2992mm, 127.1273mm, T, 90
R14, 112.6492mm, 127.1273mm, T, 270
R13, 153.0353mm, 84.0742mm, T, 0
R12, 94.4881mm, 54.4833mm, T, 270
R11, 125.7302mm, 54.4833mm, T, 270
R10, 82.5501mm, 54.4833mm, T, 270
R9, 113.5382mm, 54.4833mm, T, 270
R8, 70.4851mm, 54.4833mm, T, 270
R7, 101.3461mm, 54.4833mm, T, 270
R6, 118.4912mm, 54.4833mm, T, 270
R5, 89.408mm, 54.4834mm, T, 270
R4, 106.2991mm, 54.4833mm, T, 270
R3, 77.343mm, 54.4834mm, T, 270
R2, 65.151mm, 54.4834mm, T, 270
R1, 58.4201mm, 54.4831mm, T, 270
Q11, 121.9202mm, 42.0371mm, T, 0
Q10, 109.8552mm, 42.0371mm, T, 0
Q9, 97.7902mm, 42.0371mm, T, 0
Q8, 85.7252mm, 42.0371mm, T, 0
Q7, 73.7871mm, 42.0371mm, T, 0
Q4, 197.9934mm, 108.7122mm, T, 180
Q3, 173.3553mm, 129.1593mm, T, 0
Q2, 155.4483mm, 129.1593mm, T, 0
Q1, 61.8491mm, 42.0371mm, T, 0
SPI1, 73.9141mm, 105.2832mm, T, 0
FAN2, 189.6114mm, 139.0653mm, T, 90
FAN1, 173.7363mm, 139.0653mm, T, 90
"AC IN", 157.8613mm, 139.0653mm, T, 90
Serial, 73.9141mm, 114.6812mm, T, 0
AUX2, 83.9472mm, 74.4221mm, T, 90
Display, 105.4102mm, 78.1052mm, T, 0
SDA, 80.6452mm, 74.4221mm, T, 90
"RGB LED", 123.9522mm, 141.2243mm, T, 180
SCL, 77.3432mm, 74.4221mm, T, 90
5V, 74.0411mm, 74.4221mm, T, 90
GND, 70.7391mm, 74.4221mm, T, 90
Co2, 96.2662mm, 130.1753mm, T, 0
HDC1080, 96.2662mm, 135.7633mm, T, 0
DS18B20, 107.4222mm, 135.7633mm, T, 0
J8, 34.7158mm, 52.3876mm, T, 0
